V04001 V01000 V11042 V11212 V11041 V11043 V14032 V14033 V13012 V13052 V13011_000 V11002 V13011 V13007 V13003 V13004 V12012 V12011 V12212 V12211 V12201 V12001 V10202 V10201 V10004
1972 52842 210 16 32766 32766 31286 70 -24 137 58 35 1589 303 42 39 -277 276 -52 104 4 23 32766 32766 6986 
1973 52842 230 13 32766 32766 31315 71 -14 30325 57 36 1784 302 42 37 -268 270 -58 105 1 20 32766 32766 6994 
1974 52842 200 14 32766 32766 30358 68 12 217 72 32 2329 301 45 39 -276 243 -58 94 -5 14 32766 32766 6985 
1975 52842 200 902 32766 32766 30349 68 13 409 72 32 2360 303 46 40 -306 267 -59 94 -6 13 32766 32766 6988 
1976 52842 200 14 32766 32766 31449 71 -2 216 68 34 2038 303 43 37 -257 273 -63 93 -9 10 32766 32766 6986 
1977 52842 203 13 32766 32766 31263 71 -35 210 59 35 1344 301 42 37 -258 267 -62 95 -5 14 32766 32766 6995 
1978 52842 270 13 32766 32766 32379 73 -32 150 58 34 1413 302 41 35 -270 293 -61 103 -2 17 32766 32766 6996 
1979 52842 220 13 32766 32766 32439 73 -25 146 52 38 1566 302 38 35 -258 263 -55 103 0 19 32766 32766 6995 
1980 52842 207 14 32766 32766 32601 73 -35 187 43 34 1356 0 41 35 -279 260 -53 102 2 21 6835 7097 6994 
1981 52842 190 14 32766 32766 31542 71 38 368 71 29 2874 0 46 42 -265 270 -43 100 3 22 6855 7089 6991 
1982 52842 163 13 32766 32766 30751 69 10 230 76 26 2283 0 48 40 -248 253 -51 91 -5 14 6871 7097 6993 
1983 52842 160 14 32766 32766 30466 69 -23 143 64 28 1605 0 43 36 -283 260 -64 89 -12 7 6871 7089 6997 
1984 52842 200 13 32766 32766 29845 67 -25 213 52 30 1569 0 39 33 -242 254 -57 96 -4 15 6846 7093 6985 
1985 52842 263 14 32766 32766 30718 69 -3 140 62 28 2018 0 41 36 -246 298 -54 98 -2 17 6860 7096 6990 
1986 52842 233 13 32766 32766 31465 71 37 223 68 30 2853 0 42 36 -267 281 -61 96 -6 13 6853 7097 6994 
1987 52842 183 13 32766 32766 31224 70 9 174 66 27 2262 0 45 41 -265 247 -50 105 3 22 6863 7103 6998 
1988 52842 187 13 32766 32766 28785 65 -5 114 72 29 1987 0 44 40 -268 285 -45 105 6 25 6829 7124 6994 
1989 52842 210 14 32766 32766 27322 62 105 368 101 26 4268 0 53 47 -287 250 -46 89 -3 16 6856 7115 6997 
1990 52842 180 14 32766 32766 31911 72 -23 154 60 30 1608 2 42 36 -230 264 -55 104 1 20 6866 7135 6995 
1991 52842 200 13 32766 32766 30771 69 0 293 59 32 2092 0 42 40 -286 265 -53 102 1 20 6851 7099 6992 
1992 52842 210 15 32766 32766 29327 66 21 264 70 33 2528 2 43 39 -279 256 -55 95 -4 15 6870 7119 6995 
1993 52842 177 13 32766 32766 30694 69 9 276 73 31 2263 0 46 39 -279 262 -52 101 0 19 6860 7123 6997 
1994 52842 210 13 32766 32766 31581 71 -7 214 44 30 1933 0 41 38 -255 270 -50 107 5 24 6837 7106 6996 
1995 52842 193 13 32766 32766 31631 71 -16 186 55 34 1752 0 42 39 -290 266 -54 99 -1 18 6872 7102 6998 
1996 52842 197 13 32766 32766 31631 71 -12 143 60 35 1829 0 41 38 -241 266 -46 104 4 23 6827 7110 6994 
1997 52842 190 14 32766 32766 32270 73 -22 150 62 29 1627 0 40 36 -240 282 -56 104 -1 18 6893 7100 6999 
1998 52842 217 13 32766 32766 31409 71 16 318 77 29 2413 0 41 40 -236 269 -39 113 12 31 6832 7117 7002 
1999 52842 200 14 32766 32766 28975 65 20 302 55 31 2494 0 41 41 -253 294 -39 110 10 29 6842 7102 6997 
2000 52842 197 13 32766 32766 30564 69 -15 485 48 32 1766 0 40 38 -256 316 -50 106 5 24 6861 7114 6991 
2001 52842 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 -32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 32766 
